Date,Rank,Name,Symbol,Market Cap,Price
2023/01/01,1,"Bitcoin","BTC","$320,025,834,692.40","$16,625.08"
2023/01/01,2,"Ethereum","ETH","$146,966,709,631.13","$1,200.96"
2023/01/01,3,"Tether","USDT","$66,243,294,943.48","$0.9997"
2023/01/01,4,"USD Coin","USDC","$44,584,840,756.22","$0.9999"
2023/01/01,5,"BNB","BNB","$39,053,263,491.06","$244.14"
2023/01/01,6,"XRP","XRP","$17,054,534,692.06","$0.3388"
2023/01/01,7,"Binance USD","BUSD","$16,566,063,279.88","$1.0003"
2023/01/01,8,"Dogecoin","DOGE","$9,316,760,628.85","$0.07022"
2023/01/01,9,"Cardano","ADA","$8,621,727,158.32","$0.2498"
2023/01/01,10,"Polygon","MATIC","$6,637,843,574.08","$0.76"
2023/01/08,1,"Bitcoin","BTC","$320,025,834,692.40","$16,625.08"
2023/01/08,2,"Ethereum","ETH","$146,966,709,631.13","$1,200.96"
2023/01/08,3,"Tether","USDT","$66,243,294,943.48","$0.9997"
2023/01/08,4,"USD Coin","USDC","$44,584,840,756.22","$0.9999"
2023/01/08,5,"BNB","BNB","$39,053,263,491.06","$244.14"
2023/01/08,6,"XRP","XRP","$17,054,534,692.06","$0.3388"
2023/01/08,7,"Binance USD","BUSD","$16,566,063,279.88","$1.0003"
2023/01/08,8,"Dogecoin","DOGE","$9,316,760,628.85","$0.07022"
2023/01/08,9,"Cardano","ADA","$8,621,727,158.32","$0.2498"
2023/01/08,10,"Polygon","MATIC","$6,637,843,574.08","$0.76"
2023/01/15,1,"Bitcoin","BTC","$402,234,665,331.33","$20,880.80"
2023/01/15,2,"Ethereum","ETH","$189,982,916,189.84","$1,552.48"
2023/01/15,3,"Tether","USDT","$66,380,183,923.94","$1.0004"
2023/01/15,4,"BNB","BNB","$48,319,824,358.93","$302.07"
2023/01/15,5,"USD Coin","USDC","$43,893,297,850.25","$0.9999"
2023/01/15,6,"XRP","XRP","$19,518,617,705.85","$0.3849"
2023/01/15,7,"Binance USD","BUSD","$16,358,943,680.27","$1.0000"
2023/01/15,8,"Cardano","ADA","$12,105,718,917.40","$0.3504"
2023/01/15,9,"Dogecoin","DOGE","$11,427,062,081.16","$0.08613"
2023/01/15,10,"Polygon","MATIC","$8,590,354,227.14","$0.9835"
2023/01/22,1,"Bitcoin","BTC","$437,814,457,018.41","$22,720.42"
2023/01/22,2,"Ethereum","ETH","$199,271,406,209.80","$1,628.38"
2023/01/22,3,"Tether","USDT","$66,713,141,592.85","$1.0002"
2023/01/22,4,"BNB","BNB","$47,852,041,125.81","$303.05"
2023/01/22,5,"USD Coin","USDC","$43,480,831,666.17","$0.9999"
2023/01/22,6,"XRP","XRP","$20,367,877,363.74","$0.401"
2023/01/22,7,"Binance USD","BUSD","$16,161,805,670.36","$1.0006"
2023/01/22,8,"Cardano","ADA","$13,019,719,665.74","$0.3766"
2023/01/22,9,"Dogecoin","DOGE","$11,715,406,937.73","$0.0883"
2023/01/22,10,"Solana","SOL","$8,995,147,219.91","$24.23"
2023/01/29,1,"Bitcoin","BTC","$458,291,157,032.26","$23,774.57"
2023/01/29,2,"Ethereum","ETH","$201,446,423,701.84","$1,646.16"
2023/01/29,3,"Tether","USDT","$67,626,927,729.24","$1.0001"
2023/01/29,4,"BNB","BNB","$50,108,027,166.70","$317.34"
2023/01/29,5,"USD Coin","USDC","$43,086,077,902.98","$1.0000"
2023/01/29,6,"XRP","XRP","$21,020,729,835.62","$0.4138"
2023/01/29,7,"Binance USD","BUSD","$15,706,485,160.35","$1.0001"
2023/01/29,8,"Cardano","ADA","$13,709,953,818.39","$0.3963"
2023/01/29,9,"Dogecoin","DOGE","$11,971,321,806.91","$0.09023"
2023/01/29,10,"Polygon","MATIC","$10,287,973,680.62","$1.1779"
2023/02/05,1,"Bitcoin","BTC","$442,642,331,535.60","$22,955.67"
2023/02/05,2,"Ethereum","ETH","$199,670,814,561.87","$1,631.65"
2023/02/05,3,"Tether","USDT","$68,078,110,242.74","$1.0002"
2023/02/05,4,"BNB","BNB","$51,770,723,358.62","$327.87"
2023/02/05,5,"USD Coin","USDC","$42,031,783,646.39","$0.9999"
2023/02/05,6,"XRP","XRP","$20,265,653,496.69","$0.3989"
2023/02/05,7,"Binance USD","BUSD","$16,256,784,772.34","$0.9999"
2023/02/05,8,"Cardano","ADA","$13,583,144,197.66","$0.3925"
2023/02/05,9,"Dogecoin","DOGE","$12,218,343,437.53","$0.0921"
2023/02/05,10,"Polygon","MATIC","$10,520,492,555.05","$1.2045"
2023/02/12,1,"Bitcoin","BTC","$420,274,300,806.28","$21,788.20"
2023/02/12,2,"Ethereum","ETH","$185,400,529,851.62","$1,515.03"
2023/02/12,3,"Tether","USDT","$68,401,008,692.55","$1.0002"
2023/02/12,4,"BNB","BNB","$49,411,264,709.55","$312.93"
2023/02/12,5,"USD Coin","USDC","$41,222,130,987.91","$1.0001"
2023/02/12,6,"XRP","XRP","$19,064,006,848.43","$0.3753"
2023/02/12,7,"Binance USD","BUSD","$16,151,343,121.50","$1.0002"
2023/02/12,8,"Cardano","ADA","$12,614,472,191.82","$0.3643"
2023/02/12,9,"Dogecoin","DOGE","$10,898,077,867.43","$0.08214"
2023/02/12,10,"Polygon","MATIC","$10,817,588,615.26","$1.2385"
2023/02/19,1,"Bitcoin","BTC","$469,431,477,134.25","$24,327.64"
2023/02/19,2,"Ethereum","ETH","$205,763,839,949.87","$1,681.44"
2023/02/19,3,"Tether","USDT","$70,419,857,844.85","$1.0002"
2023/02/19,4,"BNB","BNB","$49,253,849,848.38","$311.94"
2023/02/19,5,"USD Coin","USDC","$41,861,245,787.11","$0.9999"
2023/02/19,6,"XRP","XRP","$19,624,545,305.66","$0.3863"
2023/02/19,7,"Cardano","ADA","$13,862,380,128.16","$0.4001"
2023/02/19,8,"Binance USD","BUSD","$13,241,158,783.84","$1.0002"
2023/02/19,9,"Polygon","MATIC","$12,914,141,714.13","$1.4786"
2023/02/19,10,"Dogecoin","DOGE","$11,537,848,507.30","$0.08697"
2023/02/26,1,"Bitcoin","BTC","$454,795,165,822.82","$23,561.21"
2023/02/26,2,"Ethereum","ETH","$200,793,139,093.29","$1,640.82"
2023/02/26,3,"Tether","USDT","$70,853,056,161.10","$1.0001"
2023/02/26,4,"BNB","BNB","$48,789,334,458.76","$309.00"
2023/02/26,5,"USD Coin","USDC","$42,627,802,559.27","$1.0001"
2023/02/26,6,"XRP","XRP","$19,261,559,273.94","$0.378"
2023/02/26,7,"Cardano","ADA","$12,788,186,746.65","$0.369"
2023/02/26,8,"Polygon","MATIC","$11,190,260,041.65","$1.2812"
2023/02/26,9,"Binance USD","BUSD","$11,133,434,699.84","$1.0004"
2023/02/26,10,"Dogecoin","DOGE","$10,905,805,148.02","$0.0822"
2023/03/05,1,"Bitcoin","BTC","$433,216,160,786.44","$22,435.51"
2023/03/05,2,"Ethereum","ETH","$191,450,085,930.19","$1,564.47"
2023/03/05,3,"Tether","USDT","$71,450,370,818.94","$1.0001"
2023/03/05,4,"BNB","BNB","$45,583,995,083.98","$288.70"
2023/03/05,5,"USD Coin","USDC","$43,980,818,759.52","$1.0000"
2023/03/05,6,"XRP","XRP","$18,708,866,161.13","$0.3672"
2023/03/05,7,"Cardano","ADA","$11,691,782,766.97","$0.3371"
2023/03/05,8,"Dogecoin","DOGE","$9,923,061,953.80","$0.07479"
2023/03/05,9,"Polygon","MATIC","$9,934,851,222.82","$1.1375"
2023/03/05,10,"Binance USD","BUSD","$8,690,988,693.97","$1.0002"
2023/03/12,1,"Bitcoin","BTC","$428,114,557,464.90","$22,163.95"
2023/03/12,2,"Ethereum","ETH","$194,610,296,521.50","$1,590.29"
2023/03/12,3,"Tether","USDT","$72,632,240,658.18","$1.0071"
2023/03/12,4,"BNB","BNB","$45,737,678,819.62","$289.68"
2023/03/12,5,"USD Coin","USDC","$40,315,868,122.03","$0.9921"
2023/03/12,6,"XRP","XRP","$19,020,903,151.51","$0.3733"
2023/03/12,7,"Cardano","ADA","$11,502,814,323.24","$0.3315"
2023/03/12,8,"Polygon","MATIC","$10,105,499,451.28","$1.1570"
2023/03/12,9,"Dogecoin","DOGE","$9,419,770,532.21","$0.071"
2023/03/12,10,"Binance USD","BUSD","$8,404,929,411.42","$1.0035"
2023/03/19,1,"Bitcoin","BTC","$543,037,803,329.78","$28,038.67"
2023/03/19,2,"Ethereum","ETH","$214,867,193,142.62","$1,785.58"
2023/03/19,3,"Tether","USDT","$82,335,299,514.00","$1.0030"
